CodigoAbastecimento;CodigoPostoAbastecimento;CodigoFerrovia;DataReferencia;LitrosManobra;LitrosViagem;LitrosOutro
1;82;2;01/11/2010 00:00:00;0;32450;0
2;73;2;01/11/2010 00:00:00;0;5250;0
3;79;2;01/11/2010 00:00:00;0;154520;0
4;75;2;01/11/2010 00:00:00;0;11260;0
5;80;2;01/11/2010 00:00:00;0;111520;0
6;76;2;01/11/2010 00:00:00;0;23175;0
13;72;10;01/11/2010 00:00:00;6401;106044;1198
15;77;2;01/11/2010 00:00:00;0;126937;0
16;78;2;01/11/2010 00:00:00;0;214341;0
17;74;2;01/11/2010 00:00:00;0;19110;0
18;81;2;01/11/2010 00:00:00;0;265290;0
19;72;10;01/12/2010 00:00:00;6099;112792;877
20;82;2;01/12/2010 00:00:00;0;23063;0
21;73;2;01/12/2010 00:00:00;0;3606;0
22;79;2;01/12/2010 00:00:00;0;97600;0
23;75;2;01/12/2010 00:00:00;0;12893;0
24;80;2;01/12/2010 00:00:00;0;70259;0
25;76;2;01/12/2010 00:00:00;0;25799;0
26;77;2;01/12/2010 00:00:00;0;120797;0
27;78;2;01/12/2010 00:00:00;0;250263;0
28;74;2;01/12/2010 00:00:00;0;12627;0
29;81;2;01/12/2010 00:00:00;0;313215;0
32;1;3;01/12/2010 00:00:00;0;14529379;0
33;3;3;01/12/2010 00:00:00;0;1760290;0
34;2;3;01/12/2010 00:00:00;0;1316275;0
35;21;8;01/12/2010 00:00:00;0;340004;981
36;22;8;01/12/2010 00:00:00;0;9650;0
37;30;8;01/12/2010 00:00:00;0;4500;572
38;23;8;01/12/2010 00:00:00;0;261613;2648
39;25;8;01/12/2010 00:00:00;0;1767162;277
40;24;8;01/12/2010 00:00:00;0;1299363;2424
41;19;8;01/12/2010 00:00:00;0;413338;2717
42;26;8;01/12/2010 00:00:00;0;1572306;2290
43;27;8;01/12/2010 00:00:00;0;395708;1852
44;33;8;01/12/2010 00:00:00;0;1663582;8403
45;31;8;01/12/2010 00:00:00;0;215864;3140
46;34;8;01/12/2010 00:00:00;0;252745;45001
47;28;8;01/12/2010 00:00:00;0;374839;1018
48;35;8;01/12/2010 00:00:00;0;1141395;4217
49;32;8;01/12/2010 00:00:00;0;37373;329
50;29;8;01/12/2010 00:00:00;0;692495;312
51;11;4;01/12/2010 00:00:00;0;14760697;123226
52;12;4;01/12/2010 00:00:00;0;0;33291
53;13;4;01/12/2010 00:00:00;0;0;5226
54;14;4;01/12/2010 00:00:00;0;3149248;23296
55;18;4;01/12/2010 00:00:00;0;333919;8144
56;17;4;01/12/2010 00:00:00;0;3897;49178
63;62;7;01/11/2010 00:00:00;0;1664577;0
64;62;7;01/12/2010 00:00:00;0;1642455;0
117;56;5;01/11/2010 00:00:00;0;1607038;0
118;57;5;01/11/2010 00:00:00;0;78800;0
119;84;5;01/11/2010 00:00:00;0;182480;0
120;85;5;01/11/2010 00:00:00;0;17700;0
121;56;5;01/12/2010 00:00:00;0;1349492;0
122;57;5;01/12/2010 00:00:00;0;21000;0
123;84;5;01/12/2010 00:00:00;0;526350;0
125;85;5;01/12/2010 00:00:00;0;4400;0
126;60;9;01/11/2010 00:00:00;0;219430;0
127;61;9;01/11/2010 00:00:00;0;56520;0
128;59;9;01/11/2010 00:00:00;0;97600;0
129;86;9;01/11/2010 00:00:00;0;27545;0
130;37;1;01/11/2010 00:00:00;0;122520;0
131;87;1;01/11/2010 00:00:00;0;276164;0
132;89;1;01/11/2010 00:00:00;0;44000;0
133;45;1;01/11/2010 00:00:00;0;7511;0
134;38;1;01/11/2010 00:00:00;0;291298;0
135;48;1;01/11/2010 00:00:00;0;117398;0
136;39;1;01/11/2010 00:00:00;0;6795635;0
137;40;1;01/11/2010 00:00:00;0;58135;0
138;91;1;01/11/2010 00:00:00;0;35000;0
139;42;1;01/11/2010 00:00:00;0;151891;0
140;94;1;01/11/2010 00:00:00;0;10000;0
141;41;1;01/11/2010 00:00:00;0;92700;0
142;96;1;01/11/2010 00:00:00;0;215;0
143;93;1;01/11/2010 00:00:00;0;25000;0
144;46;1;01/11/2010 00:00:00;0;1495366;0
145;47;1;01/11/2010 00:00:00;0;551581;0
146;90;1;01/11/2010 00:00:00;0;30000;0
147;95;1;01/11/2010 00:00:00;0;1200;0
148;54;1;01/11/2010 00:00:00;0;48225;0
149;49;1;01/11/2010 00:00:00;0;230322;0
150;51;1;01/11/2010 00:00:00;0;346000;0
151;92;1;01/11/2010 00:00:00;0;27200;0
152;50;1;01/11/2010 00:00:00;0;696262;0
153;52;1;01/11/2010 00:00:00;0;544568;0
154;88;1;01/11/2010 00:00:00;0;88850;0
155;53;1;01/11/2010 00:00:00;0;975639;0
156;55;1;01/11/2010 00:00:00;0;16780;0
157;43;1;01/11/2010 00:00:00;0;243900;0
158;44;1;01/11/2010 00:00:00;0;81650;0
159;37;1;01/12/2010 00:00:00;0;98900;0
160;87;1;01/12/2010 00:00:00;0;137942;0
161;89;1;01/12/2010 00:00:00;0;44000;0
162;45;1;01/12/2010 00:00:00;0;3596;0
163;38;1;01/12/2010 00:00:00;0;449251;0
164;48;1;01/12/2010 00:00:00;0;65490;0
165;39;1;01/12/2010 00:00:00;0;5234822;0
166;40;1;01/12/2010 00:00:00;0;45615;0
167;91;1;01/12/2010 00:00:00;0;43000;0
168;42;1;01/12/2010 00:00:00;0;158114;0
169;41;1;01/12/2010 00:00:00;0;69000;0
170;93;1;01/12/2010 00:00:00;0;30000;0
171;46;1;01/12/2010 00:00:00;0;1340023;0
172;47;1;01/12/2010 00:00:00;0;483866;0
173;90;1;01/12/2010 00:00:00;0;50000;0
174;95;1;01/12/2010 00:00:00;0;1200;0
175;54;1;01/12/2010 00:00:00;0;45935;0
176;49;1;01/12/2010 00:00:00;0;228581;0
177;51;1;01/12/2010 00:00:00;0;402800;0
178;92;1;01/12/2010 00:00:00;0;35000;0
179;50;1;01/12/2010 00:00:00;0;624339;0
180;52;1;01/12/2010 00:00:00;0;734538;0
181;88;1;01/12/2010 00:00:00;0;87445;0
182;53;1;01/12/2010 00:00:00;0;994233;0
183;55;1;01/12/2010 00:00:00;0;13660;0
184;43;1;01/12/2010 00:00:00;0;214250;0
185;44;1;01/12/2010 00:00:00;0;100010;0
188;82;2;01/01/2011 00:00:00;0;24151;0
189;73;2;01/01/2011 00:00:00;0;2026;0
190;79;2;01/01/2011 00:00:00;0;45482;0
191;75;2;01/01/2011 00:00:00;0;15566;0
192;80;2;01/01/2011 00:00:00;0;79365;0
193;76;2;01/01/2011 00:00:00;0;20483;0
194;77;2;01/01/2011 00:00:00;0;108822;0
195;78;2;01/01/2011 00:00:00;0;240179;0
196;74;2;01/01/2011 00:00:00;0;11443;0
197;81;2;01/01/2011 00:00:00;0;145617;0
198;72;10;01/01/2011 00:00:00;5464;105336;894
202;11;4;01/01/2011 00:00:00;302805;14116499;42260
203;13;4;01/01/2011 00:00:00;0;0;0
204;12;4;01/01/2011 00:00:00;0;0;42976
205;14;4;01/01/2011 00:00:00;61140;2850273;32901
206;18;4;01/01/2011 00:00:00;5038;234855;10072
207;16;4;01/01/2011 00:00:00;3406;158794;0
208;17;4;01/01/2011 00:00:00;118;5497;39488
209;58;9;01/11/2010 00:00:00;0;466864;0
210;58;9;01/12/2010 00:00:00;0;425327;0
228;20;8;01/01/2011 00:00:00;411;205330;541
229;21;8;01/01/2011 00:00:00;641;319997;1317
230;22;8;01/01/2011 00:00:00;7;3451;0
231;30;8;01/01/2011 00:00:00;12;6068;1055
232;23;8;01/01/2011 00:00:00;760;379278;1880
233;25;8;01/01/2011 00:00:00;4115;2053579;0
234;24;8;01/01/2011 00:00:00;2521;1257767;2372
235;19;8;01/01/2011 00:00:00;490;244292;1693
236;26;8;01/01/2011 00:00:00;3086;1540113;1508
237;27;8;01/01/2011 00:00:00;457;228113;1858
238;33;8;01/01/2011 00:00:00;3541;1767194;59
239;31;8;01/01/2011 00:00:00;589;294128;2722
240;34;8;01/01/2011 00:00:00;682;340135;185
241;28;8;01/01/2011 00:00:00;722;360475;665
242;35;8;01/01/2011 00:00:00;2439;1217071;1668
243;32;8;01/01/2011 00:00:00;66;32870;462
244;29;8;01/01/2011 00:00:00;1129;563528;695
245;1;3;01/01/2011 00:00:00;152460;13707525;0
246;2;3;01/01/2011 00:00:00;17031;1531260;0
247;3;3;01/01/2011 00:00:00;15147;1361871;0
250;14;4;01/11/2010 00:00:00;81471;3177386;19544
251;18;4;01/11/2010 00:00:00;7857;306419;5754
252;16;4;01/11/2010 00:00:00;4554;177586;0
253;17;4;01/11/2010 00:00:00;106;4124;26590
254;11;4;01/11/2010 00:00:00;401228;15246670;49492
255;13;4;01/11/2010 00:00:00;0;0;0
256;12;4;01/11/2010 00:00:00;0;0;26496
264;36;12;01/01/2011 00:00:00;0;0;1830
265;36;12;01/12/2010 00:00:00;0;0;2058
293;62;7;01/01/2011 00:00:00;0;1346905;0
294;58;9;01/01/2011 00:00:00;0;388187;0
295;61;9;01/01/2011 00:00:00;0;39612;0
296;60;9;01/01/2011 00:00:00;0;143010;0
297;86;9;01/01/2011 00:00:00;0;25050;0
298;59;9;01/01/2011 00:00:00;0;72460;0
299;56;5;01/01/2011 00:00:00;0;2069413;0
300;57;5;01/01/2011 00:00:00;0;77100;0
301;85;5;01/01/2011 00:00:00;0;6601;0
302;71;6;01/11/2010 00:00:00;2800;0;154
303;83;6;01/11/2010 00:00:00;1140;139635;9860
304;71;6;01/12/2010 00:00:00;5031;0;152
305;83;6;01/12/2010 00:00:00;0;135128;11129
306;71;6;01/01/2011 00:00:00;5450;43313;411
307;83;6;01/01/2011 00:00:00;1400;244249;160
