CodigoAbastecimentoFerrovia;CodigoAbastecimento;CodigoFerrovia;Litros
3;34;12;0
4;39;4;153991
5;44;1;45001
6;50;11;0
11;63;5;406834
12;64;5;308543
13;117;7;7891717
14;118;7;1250850
15;118;9;3500
16;118;1;18100
18;119;7;86000
19;120;7;230171
20;121;7;6131852
21;122;7;788400
22;122;9;3600
23;122;1;11200
24;123;7;412900
26;125;7;166101
27;126;5;157069
28;126;1;131260
29;127;5;49600
30;127;1;16200
31;128;5;186750
32;128;1;175550
33;129;5;24250
34;129;1;36650
35;145;5;25901
36;145;9;22149
37;157;5;8800
38;157;9;17300
39;158;5;279400
40;158;9;151500
41;172;5;7651
42;172;9;14600
43;184;5;1200
44;184;9;14500
45;185;5;309720
46;185;9;112500
49;209;5;113507
50;209;1;882287
51;210;5;186059
52;210;1;706193
54;233;4;93960
60;293;5;336428
61;294;5;133008
62;294;1;830425
63;295;5;18250
64;295;1;8000
65;296;5;98710
66;296;1;48425
67;297;5;34795
68;297;1;15800
69;298;5;101350
70;298;1;327790
71;299;7;4030760
72;300;7;827932
73;300;9;3000
74;300;1;30500
75;301;7;92920
76;302;1;0
77;304;1;0
78;306;1;0
79;308;1;0
80;315;4;155066
81;320;5;159205
82;320;1;0
83;320;4;0
84;320;11;0
85;373;5;18855
86;373;9;20300
87;380;9;19502
88;385;5;5100
89;386;5;277400
90;386;9;104098
91;387;5;232520
92;388;7;4405742
93;389;7;689500
94;389;9;118424
95;389;1;219609
96;390;7;728700
97;391;7;123883
98;392;5;132171
99;392;1;405525
100;393;5;98550
101;393;1;56110
102;394;5;24200
103;394;1;9000
104;395;5;48310
105;395;1;139530
106;396;5;88940
107;396;1;262900
108;397;7;0
109;398;5;30790
110;398;1;12700
111;399;5;123030
112;399;1;98590
113;400;5;47599
114;400;1;44550
115;401;5;100680
116;401;1;207580
117;417;5;1400
118;417;9;1600
119;430;5;213152
120;430;9;127830
121;444;1;0
122;451;4;111922
123;456;5;144162
124;462;4;12506
127;514;5;60182
128;521;9;59303
129;526;5;41950
130;526;9;6100
131;527;5;226370
132;527;9;119500
133;529;5;331298
134;530;5;137290
135;530;1;285187
136;531;5;29000
137;531;1;11100
138;532;5;101090
139;532;1;70340
140;533;5;70750
141;533;1;302705
142;534;5;96650
143;534;1;200800
144;535;7;5164927
145;536;7;777996
146;536;9;152623
147;536;1;312159
148;537;7;1541495
149;538;7;174702
150;545;4;93960
151;550;5;56007
152;556;4;34554
153;558;12;0
154;579;4;98261
155;584;5;90255
156;590;4;35998
157;599;1;0
158;608;7;4106450
159;609;7;880304
160;609;9;107456
161;609;1;279731
162;610;7;1578697
163;611;7;203100
164;612;5;221853
165;613;5;0
166;613;1;209050
167;614;5;70800
168;614;1;5300
169;615;5;84880
170;615;1;46120
171;616;5;66640
172;616;1;305165
173;617;5;62100
174;617;1;211700
175;632;5;72663
176;639;9;64708
177;644;5;36200
178;644;9;5400
179;645;5;240400
180;645;9;144200
181;671;12;0
182;682;4;27679
183;687;5;136079
184;687;1;0
185;687;4;0
186;687;11;0
187;693;4;0
188;693;11;0
189;695;1;0
190;747;1;0
191;749;12;0
192;768;4;9037
193;773;5;104903
194;773;1;0
195;773;4;0
196;773;11;0
197;779;4;0
198;779;11;0
199;795;9;191289
200;795;5;49286
201;802;9;81057
202;807;9;30900
203;807;5;22700
204;808;9;200500
205;808;5;245370
206;809;7;4156114
207;810;7;970395
208;810;9;23772
209;810;1;68461
210;811;7;1812685
211;812;7;150795
212;813;5;152579
213;814;5;73200
214;814;1;15700
215;815;5;73200
216;815;1;15700
217;816;5;74595
218;816;1;272760
219;817;5;77750
220;817;1;337850
221;818;5;0
222;818;1;361160
223;819;7;213604
224;838;5;118215
225;839;5;0
226;839;1;427463
227;840;5;44310
228;840;1;14100
229;841;5;135200
230;841;1;71748
231;842;5;78096
232;842;1;252850
233;843;5;70000
234;843;1;355360
235;844;7;4694388
236;845;7;1135818
237;845;9;0
238;845;1;17245
239;846;7;1474384
240;861;9;61783
241;861;5;30068
242;868;9;53218
243;868;5;1602
244;873;9;36592
245;873;5;18813
246;874;9;182462
247;874;5;220769
248;902;9;47944
249;902;5;29898
250;909;9;92053
251;914;9;31450
252;914;5;12000
253;915;9;179300
254;915;5;228620
255;916;5;80460
256;916;1;84330
257;917;5;14150
258;917;1;34000
259;918;5;149310
260;918;1;227200
261;919;5;73060
262;919;1;185030
263;920;5;0
264;920;1;345619
265;921;5;376311
266;922;7;4618020
267;923;7;1152052
268;923;9;0
269;923;1;6405
270;924;7;1854057
271;925;7;139914
272;935;1;0
273;950;4;63574
274;955;5;36002
275;955;1;0
276;955;4;18000
277;955;11;0
278;961;4;0
279;961;11;0
280;962;12;0
281;969;1;0
282;1003;9;90647
283;1003;5;51938
284;1010;9;78801
285;1015;9;17150
286;1015;5;33325
287;1016;9;197397
288;1016;5;196140
289;1018;12;0
290;1025;5;0
291;1025;1;364311
292;1026;5;109730
293;1026;1;58230
294;1027;5;36850
295;1027;1;21600
296;1028;5;135880
297;1028;1;207800
298;1029;5;75020
299;1029;1;294710
300;1030;5;431871
301;1031;7;5055609
302;1032;7;973078
303;1032;9;0
304;1032;1;17066
305;1033;7;1666535
306;1034;7;94900
307;1040;4;18613
308;1045;5;41000
309;1045;1;0
310;1045;4;0
311;1045;11;0
312;1051;4;0
313;1051;11;0
314;1073;9;15000
315;1073;5;8157
316;1080;9;80122
317;1085;9;8400
318;1085;5;12280
319;1086;9;80421
320;1086;5;240650
321;1087;5;0
322;1087;1;385487
323;1088;5;130463
324;1088;1;90910
325;1089;5;25200
326;1089;1;19600
327;1090;5;117790
328;1090;1;167850
329;1091;5;43200
330;1091;1;283200
331;1092;5;375355
332;1093;7;4792093
333;1094;7;1100623
334;1094;9;0
335;1094;1;19900
336;1095;7;1777991
337;1096;7;94300
338;1109;12;0
339;1128;4;0
340;1133;5;39400
341;1133;1;0
342;1133;4;0
343;1133;11;0
344;1139;4;0
345;1139;11;0
346;1148;1;0
347;1150;5;344665
348;1151;7;5226990
349;1152;7;1147697
350;1152;9;0
351;1152;1;44962
352;1153;7;1883075
353;1154;7;89172
365;1166;1;470286
366;1167;5;91000
367;1167;1;29100
368;1168;5;161330
369;1168;1;110150
370;1169;5;58200
371;1169;1;360350
372;1170;5;126000
373;1170;1;271500
374;1199;9;4000
375;1199;5;8157
376;1200;9;5400
377;1200;5;5200
378;1201;9;55400
379;1201;5;240650
380;1214;12;0
381;1223;4;2000
382;1228;5;26432
383;1228;1;0
384;1228;4;0
385;1228;11;0
386;1234;4;0
387;1234;11;0
388;1246;1;0
389;1255;5;173489
390;1256;5;82900
391;1256;1;15500
392;1257;5;196652
393;1257;1;88610
394;1258;5;78833
395;1258;1;351400
396;1259;5;93333
397;1259;1;217900
398;1260;7;5278765
399;1261;7;717339
400;1261;9;0
401;1261;1;228351
402;1262;7;3060100
403;1263;7;257799
404;1290;9;0
405;1290;5;1651
406;1291;9;239200
407;1291;5;154150
408;1304;12;0
