CodigoDesempenhoLocomotiva;CodigoFerrovia;CodigoModeloLocomotiva;DataReferencia;NumeroConsumoCombustivel;NumeroImobilizacaoOficinaPropria;NumeroImobilizacaoOficinaTerceiros;NumeroImobilizacaoMorta;NumeroDisponivelNaoUtilizadoPropria;NumeroDisponivelNaoUtilizadoTerceiros;NumeroUtilizacaoPropria;NumeroUtilizacaoTerceiros;NumeroUtilizacaoServicoInterno;NumeroTKBTracionada;NumeroTKUTracionada;NumeroDistanciaPercorrida
8874;8;146;01/01/2006 00:00:00;1161607;18784,9;0,0;2232,0;1629,7;0,0;13675,8;0,0;2962,2;127733503.0;75914570.0;278855
8875;8;146;01/05/2006 00:00:00;1127036;15848,3;0,0;2232,0;3760,5;0,0;16832,2;0,0;15,0;150744197.0;88929324.0;351488
8876;8;146;01/06/2006 00:00:00;1009596;18012,0;0,0;2160,0;3056,2;0,0;13477,3;0,0;14,5;122601402.0;70630600.0;264845
8877;8;146;01/07/2006 00:00:00;1205951;15185,5;0,0;2232,0;3411,6;0,0;17098,0;0,0;16,9;146803921.0;87892604.0;306652
8878;8;146;01/08/2006 00:00:00;876304;14703,3;0,0;2232,0;3866,0;0,0;17873,7;0,0;13,0;156766698.0;95453813.0;329820
8879;8;146;01/09/2006 00:00:00;1183765;16389,2;0,0;2232,0;3634,7;0,0;17392,1;0,0;24,0;148429155.0;91037124.0;304976
8880;8;146;01/10/2006 00:00:00;985558;15905,6;0,0;2306,4;3833,2;0,0;19666,7;0,0;26,5;159745898.0;98995843.0;329449
8881;8;146;01/11/2006 00:00:00;1014234;15139,2;0,0;2160,0;5493,6;0,0;17515,2;0,0;27,2;148699794.0;92631594.0;309377
8882;8;146;01/12/2006 00:00:00;913453;14823,9;0,0;2232,0;5616,6;0,0;18983,1;0,0;8,4;158377469.0;96849228.0;339009
8883;8;146;01/01/2007 00:00:00;1084125;19134,7;0,0;2232,0;3441,4;0,0;16844,9;0,0;11,0;136328963.0;84479411.0;305319
8884;8;146;01/02/2007 00:00:00;875124;15732,9;0,0;2016,0;3160,7;0,0;16719,4;0,0;3,0;137922157.0;84088448.0;304878
8885;4;146;01/04/2007 00:00:00;0;0,0;0,0;0,0;0,0;7,0;0,0;0,0;0,0;0.0;0.0;0
8886;4;146;01/05/2007 00:00:00;0;0,0;0,0;0,0;0,0;141,7;0,0;0,0;0,0;0.0;0.0;227
8887;8;146;01/05/2007 00:00:00;1446047;16486,0;0,0;0,0;9185,0;0,0;15736,0;0,0;11,5;157529300.0;94503262.0;322128
8888;8;146;01/04/2007 00:00:00;1507504;17597,0;0,0;0,0;7703,0;0,0;15005,0;0,0;7,0;161711450.0;98735879.0;337222
