CodigoDesempenhoVagao;CodigoFerrovia;CodigoTipoVagao;DataReferencia;NumeroImobilizacaoOficinaPropria;NumeroImobilizacaoOficinaTerceiros;NumeroImobilizacaoMorta;NumeroDisponivelNaoUtilizadoPropria;NumeroDisponivelNaoUtilizadoTerceiros;NumeroUtilizacaoPropria;NumeroUtilizacaoTerceiros;NumeroUtilizacaoServicoInterno;NumeroTUTransportada;NumeroTKUProduzida;NumeroDistanciaPercorrida
826;10;115;01/05/2007 00:00:00;2076,3;0,0;0,0;397,4;0,0;5093,9;0,0;1980,4;212526.0;15385039.0;520314.0
827;2;68;01/05/2007 00:00:00;3188,8;169,7;0,0;8684,2;977,3;3144,5;492,0;586,9;40144.0;12842867.0;846179.0
828;2;115;01/05/2007 00:00:00;412,0;0,0;0,0;1386,0;62,0;392,2;9,3;46,7;2539.0;1723176.0;107754.0
829;2;163;01/05/2007 00:00:00;629,6;0,0;0,0;12700,4;0,0;6186,9;0,0;3,5;96254.0;39797857.0;2244815.0
830;2;211;01/05/2007 00:00:00;823,8;21,4;0,0;6151,2;288,6;1650,7;100,0;116,8;22634.0;7575039.0;404264.0
831;2;320;01/05/2007 00:00:00;4586,2;372,0;0,0;9735,8;0,0;4220,6;0,0;102,0;14063.0;12270682.0;986820.0
832;2;1;01/05/2007 00:00:00;0,0;0,0;0,0;248,0;0,0;0,0;0,0;44,4;0.0;0.0;0.0
833;10;211;01/05/2007 00:00:00;372,0;0,0;0,0;310,2;0,0;1086,7;0,0;29,1;502.0;50773.0;4066.0
839;2;1;01/01/2006 00:00:00;0,0;0,0;0,0;248,0;0,0;0,0;0,0;17,1;0.0;0.0;0.0
840;2;68;01/01/2006 00:00:00;3459,4;200,7;0,0;8414,9;946,3;2865,6;385,4;712,0;17582.0;13642172.0;641789.0
841;2;115;01/01/2006 00:00:00;576,1;0,0;0,0;2802,9;62,0;426,8;23,1;74,9;2216.0;1776401.0;105812.0
842;2;163;01/01/2006 00:00:00;616,9;0,0;0,0;12775,1;0,0;4042,7;0,0;1058,9;69506.0;27101567.0;1377062.0
843;2;211;01/01/2006 00:00:00;667,2;0,6;0,0;6375,5;340,4;1785,4;108,0;295,0;29261.0;7546371.0;421939.0
844;2;320;01/01/2006 00:00:00;3327,3;93,0;0,0;11800,7;279,0;5886,7;100,7;81,5;33050.0;16381767.0;1038607.0
845;3;68;01/01/2006 00:00:00;2,0;0,0;0,0;335,5;0,0;0,0;0,0;25,1;0.0;0.0;3568.0
846;3;115;01/01/2006 00:00:00;3681,8;0,0;0,0;116842,1;0,0;98736,9;0,0;6,7;6778751.0;6335147820.0;120433671.0
847;3;163;01/01/2006 00:00:00;338,9;0,0;0,0;21394,5;0,0;11644,6;0,0;169,6;898510.0;368251249.0;8190924.0
848;3;211;01/01/2006 00:00:00;178,1;0,0;0,0;5251,5;0,0;1520,3;0,0;182,9;1674.0;2368118.0;237725.0
849;3;320;01/01/2006 00:00:00;117,3;0,0;0,0;1296,3;0,0;1593,5;0,0;0,0;53401.0;38218620.0;897004.0
850;4;1;01/01/2006 00:00:00;293,1;0,0;0,0;150,6;0,0;304,8;0,0;3,8;714.0;175786.0;8137.0
851;4;68;01/01/2006 00:00:00;1899,2;1534,7;0,0;1026,2;898,3;3539,9;4684,2;365,4;122372.0;82179695.0;1548453.0
852;4;115;01/01/2006 00:00:00;13633,1;2248,8;0,0;33000,6;4847,2;213957,8;17513,5;4821,5;10211117.0;5580540447.0;81488260.0
853;4;163;01/01/2006 00:00:00;8045,5;612,4;0,0;6848,3;4833,8;8758,4;1336,8;1596,2;155028.0;103345062.0;1767187.0
854;4;211;01/01/2006 00:00:00;3138,8;2635,5;0,0;6181,5;2006,1;17368,0;5535,2;3333,0;566905.0;238094905.0;3618759.0
855;6;68;01/01/2006 00:00:00;0,0;662,3;0,0;0,0;8991,8;0,0;4283,3;0,0;85190.0;88994568.0;575036.0
856;6;115;01/01/2006 00:00:00;0,0;0,0;0,0;0,0;386,3;0,0;152,2;0,0;3139.0;934119.0;30710.0
857;6;163;01/01/2006 00:00:00;0,0;65,2;0,0;0,0;1306,4;0,0;2941,3;0,0;54535.0;15028986.0;515386.0
858;6;211;01/01/2006 00:00:00;0,0;51,1;0,0;0,0;1306,4;0,0;973,7;0,0;3457.0;1126325.0;94059.0
859;8;68;01/01/2006 00:00:00;1364,5;23,7;8897,0;4648,0;37,3;32455,9;620,7;966,4;87776.0;66289243.0;3067121.0
860;8;115;01/01/2006 00:00:00;6468,1;2676,4;3658,0;3864,9;697,4;33631,8;14356,1;1164,7;608988.0;147769517.0;4014115.0
861;8;163;01/01/2006 00:00:00;645,9;314,9;9610,0;4273,8;908,3;50780,7;25251,0;1634,3;421231.0;251801710.0;7766051.0
862;8;211;01/01/2006 00:00:00;2967,3;828,0;2263,0;2126,9;264,3;18318,9;5451,1;5452,1;65206.0;80571056.0;4148592.0
863;8;320;01/01/2006 00:00:00;5366,8;102,5;9920,0;5625,0;60,5;25396,9;644,2;759,8;209330.0;151712755.0;3577029.0
864;10;68;01/01/2006 00:00:00;31,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0.0
865;10;115;01/01/2006 00:00:00;2129,6;0,0;0,0;2832,7;0,0;1814,5;0,0;2771,1;190478.0;13257126.0;458646.0
866;10;163;01/01/2006 00:00:00;155,0;0,0;0,0;234,4;0,0;0,0;0,0;13,6;0.0;0.0;941.0
867;10;211;01/01/2006 00:00:00;279,0;0,0;0,0;1421,2;0,0;34,5;0,0;63,4;910.0;80958.0;8007.0
868;11;68;01/01/2006 00:00:00;12127,6;0,0;0,0;2963,2;0,0;32493,6;0,0;2480,0;122473.0;31003214.0;945842.0
869;11;115;01/01/2006 00:00:00;26434,2;0,0;0,0;13209,9;0,0;177382,4;0,0;682,0;5833965.0;2822925467.0;60470745.0
870;11;163;01/01/2006 00:00:00;6249,1;0,0;0,0;6985,8;0,0;64868,1;0,0;3499,0;1261728.0;551655091.0;13823297.0
871;11;208;01/01/2006 00:00:00;375,3;0,0;0,0;45,9;0,0;601,8;0,0;62,0;17655.0;5373618.0;42979.0
872;11;211;01/01/2006 00:00:00;11962,1;0,0;0,0;7827,1;0,0;49874,5;0,0;6161,4;659856.0;200464413.0;6035462.0
873;11;320;01/01/2006 00:00:00;1814,3;0,0;0,0;976,9;0,0;9949,7;0,0;0,0;112774.0;61415396.0;1517654.0
874;2;1;01/02/2006 00:00:00;0,1;0,0;0,0;223,9;0,0;0,0;0,0;45,1;0.0;0.0;0.0
875;2;68;01/02/2006 00:00:00;3045,8;179,8;0,0;7678,2;856,2;2640,2;347,7;910,7;12233.0;9817590.0;551318.0
876;2;115;01/02/2006 00:00:00;687,8;0,0;0,0;2364,2;56,0;701,9;5,7;63,0;4053.0;3103175.0;202889.0
877;2;163;01/02/2006 00:00:00;545,5;0,0;0,0;11550,5;0,0;3880,0;0,0;1097,6;57857.0;18248329.0;1234502.0
878;2;211;01/02/2006 00:00:00;618,6;5,2;0,0;5737,4;302,8;1649,5;122,7;162,0;21036.0;5525753.0;364431.0
879;2;320;01/02/2006 00:00:00;3133,5;84,6;0,0;10530,4;251,4;5516,1;86,4;83,3;21386.0;10566481.0;832728.0
880;3;68;01/02/2006 00:00:00;3,5;0,0;0,0;305,5;0,0;0,0;0,0;0,0;0.0;0.0;7203.0
881;3;115;01/02/2006 00:00:00;2572,0;0,0;0,0;99795,6;0,0;100416,4;0,0;46,3;5301850.0;4945811162.0;95803234.0
882;3;163;01/02/2006 00:00:00;268,8;0,0;0,0;19320,2;0,0;10361,1;0,0;245,5;765123.0;310490601.0;7202342.0
883;3;211;01/02/2006 00:00:00;46,0;0,0;0,0;5345,8;0,0;740,5;0,0;465,5;1878.0;2736762.0;307963.0
884;3;320;01/02/2006 00:00:00;111,1;0,0;0,0;1125,4;0,0;1507,5;0,0;0,0;48379.0;34680826.0;793986.0
885;4;1;01/02/2006 00:00:00;313,5;0,0;0,0;132,3;0,0;248,3;0,0;0,1;286.0;71924.0;3266.0
886;4;68;01/02/2006 00:00:00;1601,0;1802,8;0,0;914,6;1259,1;2886,4;3818,6;225,3;138252.0;113793916.0;2114599.0
