CodigoFluxoTransporte;CodigoFerrovia;CodigoCliente;CodigoMercadoria;CodigoUnidadeTarifaria;CodigoFluxoTransporteFerrovia;DataExclusao;CodigoEstacaoOrigem;CodigoEstacaoDestino;CodigoTipoFluxoTransporte;DistanciaItinerario;CodigoMercadoriaFerrovia;CodigoReferenciaEstacaoOrigem;CodigoReferenciaEstacaoDestino
833;4;942;1;1;MBI01;;3117;2375;;169,520;2671.0;VAL;VIC
834;4;737;1;1;MEMAL04;;3117;2380;;155,696;;VAL;VMR
835;4;656;1;1;2218541492134629;;3117;3133;;602,631;;VAL;VTU
836;4;1752;1;1;EFVM2218571389063931;;3117;3133;;602,631;;VAL;VTU
837;4;1752;1;1;EFVM221859806143983;;3120;3133;;584,013;;VBR;VTU
838;4;1752;1;1;EFVM22192822560893;;3121;3133;;543,707;;VBS;VTU
839;4;942;1;1;EFVM221942035752701;;2365;2375;;110,402;;VCE;VIC
840;4;656;1;1;EFVM22197330932934;;2365;3133;;543,513;;VCE;VTU
841;4;1752;1;1;EFVM221991963280779;;2365;3133;;543,513;;VCE;VTU
842;4;942;1;1;MAQ05;;2369;2375;;238,285;;VFA;VIC
843;4;737;1;1;MEMAL05;;2369;2380;;224,461;;VFA;VMR
844;4;656;1;1;EFVM221916530270048;;2369;3133;;671,396;;VFA;VTU
845;4;1752;1;1;EFVM2219191392089965;;2369;3133;;671,396;;VFA;VTU
846;4;358;1;1;MEMCA01;;2369;3133;;671,396;;VFA;VTU
847;4;656;1;1;EFVM2219242015270892;;3126;3133;;668,938;;VFM;VTU
848;4;1752;1;1;EFVM221926310451125;;3126;3133;;668,938;;VFM;VTU
849;4;942;1;1;EFVM2219281172271042;;3127;2375;;173,296;;VGS;VIC
850;4;656;1;1;EFVM2219311614934922;;3127;3133;;606,407;;VGS;VTU
851;4;1752;1;1;EFVM221933254396113;;3127;3133;;606,407;;VGS;VTU
852;4;942;1;1;EFVM2219361048431884;;3128;2375;;108,965;;VJP;VIC
853;4;737;1;1;MEMAL01;;3128;2380;;95,141;;VJP;VMR
