CodigoPessoaJuridica;CodigoTipoEmpresa;RazaoSocial;NomeFantasia;NumeroCNPJ;NumeroInscricaoEstadual
5;2;ESTRADA DE FERRO PARANA OESTE SA;;80544042000122;
6;2;RUMO MALHA NORTE S.A;RUMO MALHA NORTE S.A;24962466000136;
8;2;Rumo Malha Oeste S/A;Malha Oeste;45421858000168;
9;2;Ferrovia Tereza Cristina S/A;FTC;1629083000145;
11;1;VALEC - Engenharia, Construções e Ferrovias S/A;VALEC;42150664000349;
23;1;ITRI RODOFERROVIA E SERVIÇOS LTDA;;4215000180;
32;2;CIPLAN CIMENTO PLANALTO SA;Ciplan S/A;57240000122;
33;2;CIMENTO TOCANTINS S/A;Cimento Tocantins;65557000100;
38;2;CARAMURU ALIMENTOS S/A;;80671000100;
39;2;CARAMURU ALIMENTOS S/A;;80671000371;
40;2;COMERCIO ATACADISTA DE PRODUTOS ALIMENTICIOS PEDERNEIRAS LTDA;;80671000533;
41;1;COMERCIO ATACADISTA DE PRODUTOS ALIMENTICIOS PEDERNEIRAS LTDA;;80671001858;
42;1;COMPAGER - LOGÍSTICA, TRANSPORTES E ARMAZENS GERAIS LTDA;;106386000110;
47;1;PEGMATITOS DO NORDESTE MINERAÇÃO LTDA - PEGNOR;;276208000138;
48;1;ISOESTE INDÚSTRIA E COMÉRCIO;;289348000140;
49;1;SUCDEN DO BRASIL;;308337000160;
57;2;GALVANI INDUSTRIA, COMERCIO E SERVICOS S/A;;546997000180;
58;1;FERGUMAR - FERRO GUSA DO MARANHÃO LTDA;;560621000120;
61;1;MASISA DO BRASIL LTDA;;606549000124;
64;1;LEMOS CONSTRUCOES TRANSPORTES AREIA E CASCALHO LTDA;;652008000132;
73;2;FERROVIA CENTRO-ATLANTICA S.A;;924429000175;
74;1;LOGIBRÁS INDÚSTRIA E COMÉRCIO LTDA;;956574000138;
75;1;MINERAÇÃO ATLANTICA;Mineração Atlantica;968624000105;
76;1;SEMENTES SELECTA LTDA;;969790000207;
82;1;TERRA BRANCA CEREAIS LTDA;;1058487000126;
85;1;SIDERÚRGICA MAT PRIMA LTDA;Siderúrgica Mat Prima LTDA;1089814000107;
86;1;PLASTIPAK PACKAGING DO BRASIL LTDA;PLASTIPAK PACKAGING DO BRASIL LTDA;1115825000114;
89;1;ALE COMBUSTIVEIS S/A;;1136598000294;
96;1;DIPLOMATA S/A INDÚSTRIAL E COMERCIO;;1243305000278;
97;2;RUMO Malha Sul S/A;Malha Sul;1258944000126;
99;1;SIDERÚRGICA IBIRACU LTDA;Ibiracu;1319693000142;
101;1;MERCOSUL LINE NAVEGACAO E LOGISTICA LTDA;Mercosul Line;1341776000138;
106;1;CMA CGM;CMA CGM;1417222000339;
111;1;GRAND TERRA EXPORTAÇÃO DE GRANITOS LTDA;;1491544000166;
114;1;ASA INDUSTRIA E COMERCIO LTDA;;1551272000142;
115;1;ASA INDUSTRIA E COMERCIO LTDA;;1551272000908;
116;1;LATINA DISTRIBUIDORA DE PETROLEO LTDA;;1562225000102;
117;1;USIMAR LTDA;;1577304000189;
123;1;UNILEVER BESTFOODS LTDA;Unilever;1615814005839;
129;1;M&G FIBRAS E RESINAS LTDA.;;1651102000130;
130;1;M&G FIBRAS E RESINAS LTDA.;;1651102000300;
132;1;CIA. DE FOMENTO MINERAL;;1662827000123;
133;1;NOTARO ALIMENTOS LTDA;;1682695000282;
136;1;CALCARIO FORTE LTDA;Calcario Forte;1700294000127;
138;1;CORN PRODUCTS BRASIL INGREDIENTES;;1730520001194;
145;1;SIQUEIRA CAMPOS SHOPPING CAR PEÇAS;;1791424000184;
148;2;MIZU S/A;Mizu;1797671000198;
149;2;AGRENCO DO BRASIL S/A;;1806966000183;
152;1;MINERAÇÃO GAMMA LTDA;;1968906000167;
153;1;CRYSTALSEV COMÉRCIO E REPRESENTAÇÃO LTDA;;1979841000155;
156;1;ADM DO BRASIL LTDA;;2003402000760;
157;1;ADM DO BRASIL LTDA;;2003402000922;
158;1;ADM DO BRASIL LTDA;;2003402002380;
159;1;ADM DO BRASIL LTDA;ADM;2003402002461;
160;1;ADM DO BRASIL LTDA;;2003402002542;
161;1;ADM DO BRASIL LTDA;;2003402002704;
162;1;ADM DO BRASIL LTDA;ADM DO BRASIL;2003402002976;
163;1;ADM DO BRASIL LTDA;;2003402003352;
164;1;ADM DO BRASIL LTDA;;2003402004162;
165;1;ADM DO BRASIL LTDA;ADM do Brasil;2003402004324;
166;1;ADM DO BRASIL LTDA;;2003402004405;
167;1;ADM DO BRASIL LTDA;ADM do Brasil;2003402004839;
168;1;ADM DO BRASIL LTDA;;2003402004910;
169;1;ADM DO BRASIL LTDA;;2003402005134;
171;1;ADM DO BRASIL LTDA;ADM do Brasil;2003402005568;
172;1;ADM DO BRASIL LTDA;ADM do Brasil;2003402005649;
174;1;ADM DO BRASIL LTDA;ADM;2003402006106;
181;1;SANTOS BRASIL S/A;;2084220000257;
184;1;MINERAÇÃO SÃO DOMINGOS LTDA;;2096930000116;
188;1;CITYGUSA SIDERÚRGIA LTDA;Citygusa;2167722000160;
190;1;FERTILIZANTES/ALIANCA LTDA;FertilizanteS/Alianca;2208767000721;
191;2;ARCELOR MITTAL CONVARRI BRASIL PRODUTOS SIDERURGICOS S/A;;2235994000150;
192;1;PEDRAS NATURAIS IMPORTAÇÃO EXPORTAÇÃO LTDA;;2246772000133;
193;2;MULTIGRAIN COM. EXP. E IMPORTAÇÃO S/A;;2250783000197;
194;2;MULTIGRAIN COM. EXP. E IMPORTAÇÃO S/A;Multigrain;2250783000430;
196;1;MULTIGRAIN COM. EXP. E IMPORTAÇÃO S/A;;2250783001592;
198;1;ORGANIACOES VS LTDA;;2257587000144;
200;2;Ferrovia Transnordestina Logística S/A;Ferrovia Transnordestina Logística;17234244000131;
201;1;EXPRESSO MODAL LTDA;;2292047000100;
202;1;COMPANHIA ENERGÉTICA SANTA ELISA;;2300261000152;
204;1;TIMAC AGRO INDUSTRIA E COMERCIO DE FERTILIZANTES LTDA;;2329713000129;
205;1;TRANSPORTADORA AMIZADE LTDA;;2335956000170;
211;1;ALIANCA NAVEGAÇÃO E LOGÍSTICA LTDA;;2427026001894;
212;2;TRACTEBEL ENERGIA;;2474103000208;
213;2;ULTRAFERTIL S/A;;2476026000489;
214;2;ULTRAFERTIL S/A;;2476026000560;
215;2;ULTRAFERTIL S/A;;2476026000640;
220;1;BRASTON - BRASILIAN STONES;;2598578000117;
221;1;FERTIPAR SUDESTE ADUBOS E CORRETIVOS/AGRICOLA LTDA;;2614911000215;
223;1;GALVASUD S/A;;2618456000226;
228;1;MINERAÇÃO PLANALTO LTDA;;2672517000314;
230;1;LIJEIRO COMÉRCIO DE ALIMENTOS E TRANSPORTES LTDA ME;;2731146000132;
233;1;INDÚSTRIA NACIONAL DE AÇOS LAMINADO;;2737015000677;
234;1;ECB ROCHAS ORNAMENTAIS DO BRASIL;;2746671000121;
238;1;MEGAFORT DISTRIBUIDORA IMPORTACAO E EXPORTACAO LTDA;;2782071000119;
240;1;MEGAFORT DISTRIBUIDORA IMPORTACAO E EXPORTACAO LTDA;;2782071000461;
242;1;MEGAFORT DISTRIBUIDORA IMPORTACAO E EXPORTACAO LTDA;;2782071000623;
244;2;COMPANHIA SIDERÚRGICA PAULISTA - COSIPA;;2790893000141;
245;2;COMPANHIA SIDERÚRGICA PAULISTA - COSIPA;;2790893000222;
248;1;EUROBRASIL LTDA;;2870306000124;
249;2;REDE GUSA, INDÚSTRIA E COMÉRCIO;Rede Gusa;2871936000113;
253;1;CERÂMICA MARGEM DO RIO DOCE LTDA - ME;;2912882000197;
257;1;CORRECTA INDÚSTRIA E COMÉRCIO LTDA;;2957104000114;
259;1;TRADIGRAIN DO BRASIL LTDA;;2982618000200;
269;1;COSIMAT SIDERURGICA DE MATOZINHOS;COSIMAT SIDERURGICA DE MATOZINHOS;3200559000153;
270;1;TMG SIDERÚRGIA LTDA;TMG Siderúrgia LTDA;3236132000105;
271;1;GRANITRADE EXPORTAÇÃO DE GRANITO LTDA;;3253898000106;
272;1;GRANITRADE EXPORTAÇÃO DE GRANITO LTDA;;3253898000360;
273;1;SBL INDÚSTRIA E COMÉRCIO LTDA;;3279501000147;
275;1;DORKING BRASIL LTDA;;3298342000128;
279;1;ADUBOS/ARAGUAIA IND E COM LTDA;AduboS/Araguaia;3306578001211;
281;1;MINERACAO CORUMBAENSE REUNIDA S/A;;3327988000196;
282;1;GUACIRA ALIMENTOS LTDA;;3329788000140;
286;1;ALIANCA NAVEGAÇÃO E LOGÍSTICA LTDA - PE;;3357428000770;
288;2;VALE S.A.;;33592510000154;
293;1;FORD MOTOR COMPANY BRASIL;;3470727000120;
294;1;COMPANHIA CIMENTO PORTLAND ITAU S/A;;3478054000317;
295;1;COMPANHIA MULLER DE BEBIDAS;;3485775000192;
302;1;USIVAL - USINA SIDERÚRGICA VALADARES LTDA;;3503445000182;
304;2;URUCUM MINERAÇÃO S/A;;3553344000116;
310;2;CIMENTO DAVI;Davi;3693299000103;
316;1;GRANITEC MARMORES E GRANITOS LTDA;;3899582000188;
317;1;COOP.AGRIC.SUL MATOGROSSENSE LTDA;;3902129000183;
319;1;GLOBAL GRANITE LTDA;Global;3913117000154;
328;1;STONEQUARRIES DO BRASIL LTDA - ME;;4001077000137;
331;2;SLC ALIMENTOS S/A;;4107020000621;
334;1;MCS LOGÍSTICA LTDA;;4159283000170;
335;2;PETRÓLEO SABBA S/A;;4169215002305;
337;1;ALBERTO PASQUALINI - REFAP S/A;;4207640000128;
338;1;SIDERÚRGICA IBERICA DO PARA S/A;;4212158000186;
343;1;AUROBINDO PHARMA INDÚSTRIA FARMACEUTICA LTDA;;4301884000175;
348;1;USISETE USINA SIDERÚRGICA SETE LAGOAS LTDA;Usisete;4360882000157;
350;1;DCNDB OVERSEAS S/A;;4375791000195;
353;1;PRIMO SCHINCARIOL IND CERV N - NE S/A;;4430717000124;
354;1;INSOL INTERTRADING DO BRASIL INDÚSTRIA E COMÉRCIO S/A;;4440724000107;
358;1;BRUMALE INDÚSTRIA DE BISCOITOS LTDA;;4493370000169;
359;1;DIST. CIMENTO VASCONCELOS LTDA;;4532125000113;
360;1;MINERACAO SANTA MARIA LTDA - EPP;;4535996000190;
361;1;R.E.D. GRANITI BRASIL LTDA;;4553263000189;
364;1;AGROPECPAR COM. IMP. E EXP. PROD. AGROPEC. LTDA;;4611284000103;
365;1;SERTRADING (BR) LTDA;Sertrading (Br) LTDA;4626426000106;
368;1;SAMIRA CRUZ COSTA COMÉRCIO;;4755145000153;
369;1;CIA SIDERÚRGICA SANTA BARBARA;;4765856000109;
370;1;FERDIL PRODUTOS METALURGICOS LTDA;Ferdil;4766768000121;
372;1;CEREALISTA NARDO;;4774663001322;
373;1;MILÊNIO COMÉRCIO E EXPORTAÇÃO LTDA;;4783944000133;
380;1;CAVA LTDA;;4975222000180;
382;1;PLASTRO DO BRASIL S/A;;5033026000150;
384;1;SIDERUNA IND. E COM.LTDA;;5057990000118;
389;1;DIVIGUSA INDÚSTRIA E COMÉRCIO;Divigusa;5250219000162;
391;1;COMASA COML MAQ E MOTORES LTDA;;5274139000147;
396;1;DISTRIBUIDORA GUANABARA;Guanabara;5456201000111;
397;1;MINAS GUSA SIDERÚRGIA LTDA;Minas Gusa Siderúrgia;5456420000109;
398;2;SIDERLAGOS SIDERÚRGIA;Siderlagos Siderúrgia;5457238000164;
402;1;SIMAR - SIDERÚRGICA MARAVILHAS LTDA;;5541165000194;
410;1;FORTALEZA PÃO LTDA;;5815477000220;
411;1;SIDERURGICA FENIX;;5826942000228;
414;1;LEV TERMOPLASTICOS LTDA;LEV;5936089000116;
415;2;NETHER IRON SIDERÚRGIA DO BRASIL S/A;Nether;6025802000132;
416;1;GIALLO VENEZIANO MINERACAO LTDA;;6037082000206;
421;1;SIDERBRAS SIDERURGICA BRASILEIRA LTDA;SIDERBRAS SIDERURGICA BRASILEIRA LTDA;6151340000280;
424;1;CIA MARANHENSE DE REFRIGERANTES - FILIAL;;6272199000940;
428;1;DURAMETAL S/A;;7041007000109;
429;1;ITAPUI BARBALHENSE IND DE CIMENTO S/A;;7052194000118;
430;1;F.C. OLIVEIRA;;7069487000370;
432;1;GRANDE MOINHO CEARENSE;;7199805000155;
433;1;M. DIAS BRANCO IND COM DE ALIMENTOS;;7206816002401;
436;1;VICUNHA NORDESTE S/A;;7332190000860;
438;2;VIENA SIDERÚRGICA S/A;;7609993000142;
439;1;GUSA NORDESTE S/A;;7636657000199;
440;1;CARBOMIL QUÍMICA S/A;;7645062000108;
442;1;COMPANHIA SIDERÚRGICA DO PARA - COSIPAR;;7919053000150;
443;1;SIMARA - SIDERÚRGICA MARABA S/A;;7933914000154;
445;1;COMAFAL - COMÉRCIO E INDÚSTRIA DE;;8195406000340;
446;1;CIMENTO POTY S/A;;8567539000139;
448;1;CIMENTO POTY S/A;;8567539003316;
451;1;BENTONIT UNIÃO NORDESTE INDUSTRIA E COMERCIO LTDA;BENTONIT UNIÃO NORDESTE INDUSTRIA E COMERCIO LTDA;8811119000822;
453;1;JOÃO IRAN DE VASCONCELOS;;9486374000133;
454;2;MARGUSA-MARANHAO GUSA S/A;;10255321000271;
